Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/search?q=[term],2330,0,10,43.3614148498978,3.36839999363292,1545.2424999966752,1260.1454935622316,128.9142289332359,0.0,10,12,13,15,21,83,520,1300,1500,1500,1500
,Aggregated,2330,0,10,43.3614148498978,3.36839999363292,1545.2424999966752,1260.1454935622316,128.9142289332359,0.0,10,12,13,15,21,83,520,1300,1500,1500,1500
