Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785726174,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785726175,10,,Aggregated,0.000000,0.000000,10,410,420,420,420,420,440,440,440,440,440,23,0,10,186.1479565224094,5.326699989382178,439.9066000041785,1241.0869565217392
1785726176,20,,Aggregated,0.000000,0.000000,8,9,10,36,410,420,420,440,440,440,440,91,0,8,55.597358241876854,3.457500002696179,439.9066000041785,1224.8131868131868
1785726177,30,,Aggregated,15.000000,0.000000,8,10,12,13,42,410,420,420,440,440,440,186,0,8,33.6071736560615,3.457500002696179,439.9066000041785,1220.263440860215
1785726178,40,,Aggregated,36.000000,0.000000,8,10,11,12,37,45,410,420,440,440,440,313,0,8,24.35494217267163,3.457500002696179,439.9066000041785,1237.4632587859426
1785726179,50,,Aggregated,53.666667,0.000000,10,13,39,68,390,480,680,690,730,730,730,392,0,10,88.92139770417701,3.457500002696179,726.7177000030642,1234.2448979591836
1785726180,50,,Aggregated,70.500000,0.000000,9,13,36,50,350,430,650,690,730,730,730,534,0,9,78.88993426983215,3.457500002696179,726.7177000030642,1236.8314606741574
1785726181,50,,Aggregated,70.400000,0.000000,9,12,20,35,260,420,630,690,730,730,730,694,0,9,63.554154178885014,3.457500002696179,726.7177000030642,1237.7305475504322
1785726182,50,,Aggregated,81.000000,0.000000,10,15,23,30,160,400,600,660,730,730,730,855,0,10,55.016254853969166,3.457500002696179,726.7177000030642,1243.1707602339181
1785726183,50,,Aggregated,92.571429,0.000000,10,13,19,25,68,390,480,650,700,730,730,1013,0,10,47.9104383022754,3.457500002696179,726.7177000030642,1240.1243830207304
1785726184,50,,Aggregated,99.875000,0.000000,9,12,17,21,45,330,440,650,700,730,730,1175,0,9,42.55429089378982,3.457500002696179,726.7177000030642,1238.1506382978723
1785726185,50,,Aggregated,107.111111,0.000000,9,12,14,19,39,270,430,630,700,730,730,1336,0,9,38.46776070380231,3.457500002696179,726.7177000030642,1238.256736526946
1785726186,50,,Aggregated,112.300000,0.000000,9,11,13,17,35,220,420,620,700,730,730,1497,0,9,35.182673146496164,3.457500002696179,726.7177000030642,1239.4235136940547
1785726187,50,,Aggregated,126.300000,0.000000,9,11,12,14,31,190,420,610,700,730,730,1664,0,9,32.465746274222234,3.457500002696179,726.7177000030642,1239.125
1785726188,50,,Aggregated,137.100000,0.000000,9,11,12,14,28,110,410,600,700,730,730,1831,0,9,30.351754560494914,3.457500002696179,726.7177000030642,1239.4746040415073
1785726189,50,,Aggregated,145.100000,0.000000,9,10,12,13,25,70,410,500,700,730,730,1999,0,9,28.438498999635428,3.457500002696179,726.7177000030642,1239.6448224112055
1785726190,50,,Aggregated,149.100000,0.000000,9,10,12,13,24,49,400,480,700,730,730,2159,0,9,27.0369031034556,3.457500002696179,726.7177000030642,1237.5159796201945
1785726191,50,,Aggregated,158.100000,0.000000,8,10,12,13,22,46,400,440,700,730,730,2314,0,8,25.759416551576667,3.457500002696179,726.7177000030642,1232.8254105445117
1785726192,50,,Aggregated,161.300000,0.000000,9,10,12,13,22,44,390,440,700,730,730,2479,0,9,24.717952803719037,3.457500002696179,726.7177000030642,1231.7418313836224
1785726193,50,,Aggregated,160.900000,0.000000,8,10,12,13,20,42,380,430,700,730,730,2641,0,8,23.735622680966507,3.4411999949952587,726.7177000030642,1231.3142748958728
1785726194,50,,Aggregated,162.600000,0.000000,8,10,12,13,19,39,340,420,700,730,730,2799,0,8,22.922140728985607,3.4411999949952587,726.7177000030642,1230.5001786352268
1785726195,50,,Aggregated,161.700000,0.000000,9,10,12,13,19,37,320,420,700,730,730,2951,0,9,22.259246289527066,3.4411999949952587,726.7177000030642,1232.1911216536766
1785726196,50,,Aggregated,161.100000,0.000000,8,10,11,12,18,35,320,420,690,730,730,3111,0,8,21.527345837440777,3.4411999949952587,726.7177000030642,1232.7643844423014
1785726197,50,,Aggregated,161.600000,0.000000,8,10,11,12,18,33,280,420,690,730,730,3272,0,8,20.867556846096615,3.055499997572042,726.7177000030642,1232.434902200489
1785726198,50,,Aggregated,160.200000,0.000000,8,10,11,12,18,32,260,420,690,730,730,3440,0,8,20.32361491283789,3.055499997572042,726.7177000030642,1232.2165697674418
1785726199,50,,Aggregated,160.200000,0.000000,8,10,12,13,19,34,230,410,690,730,730,3598,0,8,20.221110644824133,3.055499997572042,726.7177000030642,1230.5628126737076
1785726200,50,,Aggregated,160.000000,0.000000,9,10,12,13,20,33,220,410,690,730,730,3758,0,9,19.964671421019712,3.055499997572042,726.7177000030642,1230.936402341671
1785726201,50,,Aggregated,160.200000,0.000000,9,10,12,13,20,32,210,410,690,730,730,3920,0,9,19.70280640311177,3.055499997572042,726.7177000030642,1230.7477040816327
1785726202,50,,Aggregated,159.200000,0.000000,9,11,12,13,21,34,190,410,690,730,730,4077,0,9,19.64354441995587,3.055499997572042,726.7177000030642,1230.9072847682119
1785726203,50,,Aggregated,158.800000,0.000000,9,11,12,14,22,33,180,400,690,730,730,4250,0,9,19.400096305916495,3.055499997572042,726.7177000030642,1228.9776470588235
1785726204,50,,Aggregated,158.400000,0.000000,9,11,12,14,21,32,160,400,690,730,730,4405,0,9,19.084252758246553,3.055499997572042,726.7177000030642,1228.5602724177072
1785726205,50,,Aggregated,159.000000,0.000000,9,11,13,14,21,32,110,400,690,730,730,4569,0,9,18.867647143819962,3.055499997572042,726.7177000030642,1227.0293280805429
1785726206,50,,Aggregated,160.100000,0.000000,9,11,13,14,21,31,100,390,690,730,730,4730,0,9,18.671510528558205,3.055499997572042,726.7177000030642,1227.0845665961945
1785726207,50,,Aggregated,160.100000,0.000000,9,11,13,14,22,32,77,390,690,730,730,4890,0,9,18.675292556265518,3.055499997572042,726.7177000030642,1227.1492842535788
1785726208,50,,Aggregated,161.100000,0.000000,9,11,13,14,21,31,74,390,690,730,730,5056,0,9,18.441305280881537,3.055499997572042,726.7177000030642,1228.235759493671
1785726209,50,,Aggregated,160.100000,0.000000,9,11,13,14,21,31,70,380,690,730,730,5222,0,9,18.17157018387058,3.055499997572042,726.7177000030642,1227.9749138261202
1785726210,50,,Aggregated,160.300000,0.000000,9,11,13,14,21,30,69,350,690,730,730,5380,0,9,17.982255557681164,3.055499997572042,726.7177000030642,1227.9724907063196
1785726211,50,,Aggregated,160.500000,0.000000,9,11,13,14,21,30,68,340,690,730,730,5543,0,9,17.79634306340737,3.055499997572042,726.7177000030642,1227.8791268266282
1785726212,50,,Aggregated,161.000000,0.000000,9,12,13,15,22,32,67,340,690,730,730,5695,0,9,17.92621025468864,3.055499997572042,726.7177000030642,1227.4005267778753
1785726213,50,,Aggregated,162.200000,0.000000,9,12,13,15,21,31,64,330,690,730,730,5855,0,9,17.711081417666367,3.055499997572042,726.7177000030642,1227.807685738685
1785726214,50,,Aggregated,160.800000,0.000000,9,12,13,14,21,31,62,320,690,730,730,6012,0,9,17.52288992020566,3.055499997572042,726.7177000030642,1227.6776447105788
1785726215,50,,Aggregated,160.500000,0.000000,10,12,13,15,21,31,60,320,690,730,730,6173,0,10,17.393819374742936,3.055499997572042,726.7177000030642,1227.5421999028026
1785726216,50,,Aggregated,160.400000,0.000000,10,12,13,15,21,31,59,320,690,730,730,6330,0,10,17.30723789892677,3.055499997572042,726.7177000030642,1226.5309636650868
1785726217,50,,Aggregated,159.600000,0.000000,10,12,14,15,22,35,71,280,690,730,730,6483,0,10,17.793857535107275,3.055499997572042,726.7177000030642,1225.756748418942
1785726218,50,,Aggregated,159.500000,0.000000,10,12,14,16,24,37,75,270,690,730,730,6615,0,10,18.03761960695975,3.055499997572042,726.7177000030642,1224.8624338624338
1785726219,50,,Aggregated,158.300000,0.000000,10,12,14,16,25,42,150,360,690,730,730,6675,0,10,20.2733505617985,3.055499997572042,726.7177000030642,1224.6645692883894
1785726220,50,,Aggregated,157.000000,0.000000,10,12,14,16,27,53,320,500,940,1000,1000,6754,0,10,25.9101306189029,3.055499997572042,1047.2051999968244,1224.474385549304
1785726221,50,,Aggregated,150.400000,0.000000,10,12,14,17,28,62,330,550,940,1000,1000,6790,0,10,27.6594005891096,3.055499997572042,1047.2051999968244,1224.3762886597938
1785726222,50,,Aggregated,150.400000,0.000000,10,12,15,17,29,72,410,620,1000,1100,1100,6824,0,10,31.254947113138492,3.055499997572042,1055.0976999948034,1224.3215123094958
1785726223,50,,Aggregated,132.200000,0.000000,10,13,15,17,31,110,580,910,1700,2000,2000,6942,0,10,39.89002048401262,3.055499997572042,1985.642400002689,1225.0442235666956
1785726224,50,,Aggregated,120.700000,0.000000,10,13,15,18,32,110,570,910,1700,2000,2000,7077,0,10,39.68559764024381,3.055499997572042,1985.642400002689,1225.1473788328387
1785726225,50,,Aggregated,108.700000,0.000000,10,13,16,18,35,130,580,900,1700,2000,2000,7128,0,10,41.10918484849493,3.055499997572042,1985.642400002689,1225.320426487093
1785726226,50,,Aggregated,106.700000,0.000000,10,13,16,19,38,200,630,970,1700,2000,2000,7240,0,10,46.34354501381671,3.055499997572042,1985.642400002689,1225.835773480663
1785726227,50,,Aggregated,101.200000,0.000000,10,13,16,19,39,180,630,970,1700,2000,2000,7393,0,10,45.79964988501855,3.055499997572042,1985.642400002689,1225.7346138238875
1785726228,50,,Aggregated,88.300000,0.000000,11,13,17,20,42,170,620,970,1700,2000,2000,7534,0,10,45.90290436687328,3.055499997572042,1985.642400002689,1226.1712237855056
1785726229,50,,Aggregated,90.500000,0.000000,11,13,17,20,41,160,620,970,1700,2000,2000,7692,0,11,45.231080109221544,3.055499997572042,1985.642400002689,1226.1690067602703
1785726230,50,,Aggregated,89.500000,0.000000,11,13,16,19,39,160,610,960,1700,2000,2000,7847,0,11,44.6020942908314,3.055499997572042,1985.642400002689,1226.7825920734037
1785726231,50,,Aggregated,94.900000,0.000000,11,13,16,19,38,150,600,950,1700,2000,2000,8004,0,11,43.94969172914654,3.055499997572042,1985.642400002689,1226.0116191904049
1785726232,50,,Aggregated,103.800000,0.000000,11,14,17,20,41,140,600,950,1700,2000,2000,8154,0,11,43.75566295071561,3.055499997572042,1985.642400002689,1226.1399313220504
