Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/search?q=[term],8154,0,11,43.75566295071561,3.055499997572042,1985.642400002689,1226.1399313220504,139.79225555995856,0.0,11,14,17,20,41,140,600,950,1700,2000,2000
,Aggregated,8154,0,11,43.75566295071561,3.055499997572042,1985.642400002689,1226.1399313220504,139.79225555995856,0.0,11,14,17,20,41,140,600,950,1700,2000,2000
